"sample"	"psite_region"	"frame"	"fraction_mean"	"fraction_sd"	"fraction_sem"
"sup45_wt"	"Extension"	"1"	0.372241350638659	0.0266400245709698	0.018837342025109
"sup45_wt"	"Extension"	"2"	0.217207056694128	0.00485405291379164	0.00343233373158039
"sup45_wt"	"Distal 3'-UTR"	"0"	0.198842593255839	0.00966268984683378	0.00683255351519857
"sup45_wt"	"Distal 3'-UTR"	"1"	0.418489067742462	0.00526410246672172	0.00372228255107976
"sup45_wt"	"Distal 3'-UTR"	"2"	0.382668339001699	0.0149267923135555	0.0105548360662784
"sup45_d"	"5'-UTR"	"0"	0.196727308003256	0.0079879425260586	0.00564832832790443
"sup45_d"	"5'-UTR"	"1"	0.234064450654712	0.00581166110520875	0.00410946497745121
"sup45_d"	"5'-UTR"	"2"	0.569208241342032	0.0137996036312673	0.00975779330535564
"sup45_d"	"CDS"	"0"	0.854769040172592	0.0262589210663619	0.0185678611526668
"sup45_d"	"CDS"	"1"	0.0771932923082878	0.0302882271279706	0.0214170107923064
"sup45_d"	"CDS"	"2"	0.0680376675191201	0.00402930606160873	0.00284914963963959
"sup45_d"	"Extension"	"0"	0.445108849698419	0.0455193126806803	0.0321870146714598
"sup45_d"	"Extension"	"1"	0.317784878828208	0.0406791574745186	0.0287645081031875
"sup45_d"	"Extension"	"2"	0.237106271473374	0.00484015520616168	0.0034225065682723
"sup45_d"	"Distal 3'-UTR"	"0"	0.308305925197057	0.00365632333914646	0.0025854110273211
"sup45_d"	"Distal 3'-UTR"	"1"	0.366899923279349	0.00146672829687742	0.00103713352488022
"sup45_d"	"Distal 3'-UTR"	"2"	0.324794151523593	0.00218959504226904	0.00154827750244088
"rli1_wt"	"5'-UTR"	"0"	0.220294123100262	0.051428089541056	0.0363651508579497
"rli1_wt"	"5'-UTR"	"1"	0.275890403730566	0.0123224786115573	0.00871330818725835
"rli1_wt"	"5'-UTR"	"2"	0.503815473169172	0.0637505681526133	0.045078459045208
"rli1_wt"	"CDS"	"0"	0.750212714055583	0.133658413012462	0.0945107702037443
"rli1_wt"	"CDS"	"1"	0.169290238562164	0.0971837368279646	0.0687192793321026
"rli1_wt"	"CDS"	"2"	0.0804970473822523	0.0364746761844975	0.0257914908716417
"rli1_wt"	"Extension"	"0"	0.406936330643634	0.03844059004978	0.0271816018970116
"rli1_wt"	"Extension"	"1"	0.343169791927633	0.0477705323912619	0.0337788673947529
"rli1_wt"	"Extension"	"2"	0.249893877428733	0.00932994234148191	0.00659726549774135
"rli1_wt"	"Distal 3'-UTR"	"0"	0.290095362435046	0.0285442857391326	0.0201838580102671
"rli1_wt"	"Distal 3'-UTR"	"1"	0.354035808391099	0.0395556824769529	0.0279700913139153
"rli1_wt"	"Distal 3'-UTR"	"2"	0.355868829173855	0.0110113967378204	0.00778623330364822
"rli1_d"	"5'-UTR"	"0"	0.197072424359443	0.0205009600774559	0.0118362348193649
"rli1_d"	"5'-UTR"	"1"	0.243237084286016	0.00114370334353183	0.000660317433261178
"rli1_d"	"5'-UTR"	"2"	0.559690491354541	0.0215500834398579	0.0124419464750608
"rli1_d"	"CDS"	"0"	0.795123555877125	0.0346378541884957	0.019998174439879
"rli1_d"	"CDS"	"1"	0.134550317604011	0.0386642068559213	0.0223227902362695
"rli1_d"	"CDS"	"2"	0.0703261265188641	0.00403623151790395	0.0023303193533735
"rli1_d"	"Extension"	"0"	0.415630538717392	0.035784548109431	0.0206602184838091
"rli1_d"	"Extension"	"1"	0.345049308284391	0.0272135165443354	0.0157117311024684
"rli1_d"	"Extension"	"2"	0.239320152998217	0.0085721651850481	0.00494914187712546
"rli1_d"	"Distal 3'-UTR"	"0"	0.289236534376016	0.0153846901850718	0.00888235501975023
"rli1_d"	"Distal 3'-UTR"	"1"	0.31972147045955	0.00444567075727567	0.00256670920844156
"rli1_d"	"Distal 3'-UTR"	"2"	0.391041995164433	0.01099423255042	0.00634752312251831
